"anio","jurisdiccion_de_residencia_id","jurisdicion_residencia_nombre","edad_madre_grupo","instruccion_madre","tipo_de_parto_id","tipo_de_parto_nombre","semana_gestacion","intervalo_peso_al_nacer","sexo_id","Sexo","nacimientos_cantidad"
2024,99,"Sin Información","4.25 a 29","8.Sin especificar",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",2
2024,86,"Santiago del Estero","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","5.2000 a 2499",2,"femenino",3
2024,99,"Sin Información","4.25 a 29","8.Sin especificar",1,"Simple","6.37 a 41","9.Sin especificar",2,"femenino",9
2024,58,"Neuquén","3.20 a 24","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",44
2024,90,"Tucumán","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","4.28 a 31","6.2500 a 2999",2,"femenino",1
2024,90,"Tucumán","4.25 a 29","2.Primaria/C. EGB Incompleta",1,"Simple","7.42 y más","7.3000 a 3499",2,"femenino",2
2024,98,NA,"4.25 a 29","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,46,"La Rioja","5.30 a 34","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",15
2024,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",10
2024,90,"Tucumán","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","5.32 a 36","8.De 3500 y más",2,"femenino",2
2024,66,"Salta","7.40 a 44","3.Primaria/C. EGB Completa",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",2
2024,38,"Jujuy","6.35 a 39","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",41
2024,66,"Salta","7.40 a 44","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",1
2024,66,"Salta","7.40 a 44","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",6
2024,34,"Formosa","3.20 a 24","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",1
2024,90,"Tucumán","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",240
2024,86,"Santiago del Estero","4.25 a 29","7.Terciaria/Universitaria Completa",1,"Simple","5.32 a 36","4.1500 a 1999",2,"femenino",1
2024,74,"San Luis","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",47
2024,74,"San Luis","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",17
2024,74,"San Luis","2.15 a 19","5.Secundaria/Polimodal Completa",1,"Simple","4.28 a 31","2.500 a 999",2,"femenino",1
2024,99,"Sin Información","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",1
2024,86,"Santiago del Estero","6.35 a 39","6.Terciaria/Universitaria Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",2,"femenino",1
2024,66,"Salta","6.35 a 39","3.Primaria/C. EGB Completa",1,"Simple","7.42 y más","8.De 3500 y más",2,"femenino",3
2024,66,"Salta","6.35 a 39","3.Primaria/C. EGB Completa",1,"Simple","8.Sin especificar","7.3000 a 3499",2,"femenino",1
2024,86,"Santiago del Estero","5.30 a 34","1.Sin instrucción",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",1
2024,82,"Santa Fe","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",228
2024,62,"Río Negro","6.35 a 39","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",9
2024,62,"Río Negro","6.35 a 39","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",13
2024,62,"Río Negro","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","3.1000 a 1499",2,"femenino",1
2024,86,"Santiago del Estero","5.30 a 34","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",16
2024,86,"Santiago del Estero","5.30 a 34","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",12
2024,86,"Santiago del Estero","5.30 a 34","3.Primaria/C. EGB Completa",1,"Simple","4.28 a 31","2.500 a 999",2,"femenino",1
2024,82,"Santa Fe","5.30 a 34","8.Sin especificar",1,"Simple","5.32 a 36","3.1000 a 1499",2,"femenino",1
2024,62,"Río Negro","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","7.3000 a 3499",2,"femenino",1
2024,62,"Río Negro","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",2
2024,82,"Santa Fe","5.30 a 34","8.Sin especificar",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",1
2024,66,"Salta","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","8.Sin especificar","6.2500 a 2999",2,"femenino",1
2024,66,"Salta","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","8.Sin especificar","9.Sin especificar",2,"femenino",1
2024,62,"Río Negro","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","7.42 y más","7.3000 a 3499",2,"femenino",1
2024,86,"Santiago del Estero","6.35 a 39","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,66,"Salta","6.35 a 39","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","4.1500 a 1999",2,"femenino",1
2024,90,"Tucumán","6.35 a 39","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",23
2024,86,"Santiago del Estero","7.40 a 44","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",3
2024,82,"Santa Fe","6.35 a 39","2.Primaria/C. EGB Incompleta",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",3
2024,90,"Tucumán","4.25 a 29","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,99,"Sin Información","5.30 a 34","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","8.De 3500 y más",2,"femenino",1
2024,74,"San Luis","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",1
2024,62,"Río Negro","5.30 a 34","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",24
2024,90,"Tucumán","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",36
2024,90,"Tucumán","5.30 a 34","1.Sin instrucción",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,99,"Sin Información","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,99,"Sin Información","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",3
2024,58,"Neuquén","3.20 a 24","6.Terciaria/Universitaria Incompleta",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",2
2024,74,"San Luis","5.30 a 34","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",2,"femenino",2
2024,90,"Tucumán","5.30 a 34","5.Secundaria/Polimodal Completa",1,"Simple","2.22 a 23","2.500 a 999",2,"femenino",1
2024,34,"Formosa","3.20 a 24","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",6
2024,90,"Tucumán","5.30 a 34","5.Secundaria/Polimodal Completa",1,"Simple","3.24 a 27","2.500 a 999",2,"femenino",2
2024,62,"Río Negro","5.30 a 34","8.Sin especificar",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",6
2024,58,"Neuquén","3.20 a 24","7.Terciaria/Universitaria Completa",1,"Simple","5.32 a 36","5.2000 a 2499",2,"femenino",1
2024,58,"Neuquén","3.20 a 24","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",1
2024,58,"Neuquén","3.20 a 24","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",9
2024,90,"Tucumán","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","2.22 a 23","2.500 a 999",2,"femenino",1
2024,62,"Río Negro","6.35 a 39","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",18
2024,90,"Tucumán","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","7.42 y más","8.De 3500 y más",2,"femenino",1
2024,38,"Jujuy","3.20 a 24","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",31
2024,90,"Tucumán","6.35 a 39","5.Secundaria/Polimodal Completa",1,"Simple","3.24 a 27","4.1500 a 1999",2,"femenino",1
2024,66,"Salta","6.35 a 39","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",23
2024,90,"Tucumán","6.35 a 39","5.Secundaria/Polimodal Completa",1,"Simple","4.28 a 31","2.500 a 999",2,"femenino",1
2024,38,"Jujuy","3.20 a 24","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",6
2024,62,"Río Negro","6.35 a 39","7.Terciaria/Universitaria Completa",1,"Simple","7.42 y más","8.De 3500 y más",2,"femenino",1
